frame,t_s,x_px_raw,y_px_raw,angle_deg_raw,mm_per_px,x_px_filt,y_px_filt,pos_outlier,x_mm,y_mm,y_mm_origin,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,tail_trimmed
53,1.755437853,229.5157318,309.3180237,2,0.142857143,229.6742096,309.3650635,0,2.734337943,6.862409029,-6.862409029,2.8,3.405378486,-6.803027879,7.607745458,28.98422175,0
54,1.788559322,230.6459961,306.9547119,2,0.142857143,230.6347961,307.553949,0,2.871564593,7.121139672,-7.121139672,4,3.85610881,-7.562095275,8.488513422,31.39957356,0
55,1.821680791,231.7796478,305.6371765,6,0.142857143,231.6339264,305.6914124,0,3.014297485,7.387216332,-7.387216332,5.2,4.104608599,-8.009529679,9.000020968,36.23027719,0
56,1.85480226,232.6180725,304.2996216,8,0.142857143,232.6496002,303.791687,0,3.159393747,7.658605666,-7.658605666,6.4,4.14499679,-8.516959318,9.47204278,31.39957356,0
57,1.887923729,233.6101837,302.2475281,8,0.142857143,233.6017181,301.7909973,0,3.295410592,7.94441848,-7.94441848,7.6,3.980316584,-9.126093911,9.956330156,21.73816631,0
58,1.921045198,234.594101,299.819397,8,0.142857143,234.479303,299.4917664,0,3.420779855,8.272880046,-8.272880046,8,3.59636551,-9.798419623,10.43757021,9.661407249,0
59,1.954166667,235.4065857,296.9512634,8,0.142857143,235.2489838,296.9745117,0,3.530734253,8.632487851,-8.632487851,7.6,3.051638263,-10.41800534,10.85575107,-4.830703625,0
60,1.987288136,236.167572,294.1410217,8,0.142857143,235.8030182,294.3325806,0,3.609882028,9.009906587,-9.009906587,6.8,2.503096488,-10.5935842,10.88528907,-14.49211087,0
61,2.020409605,236.4664764,291.7133484,6,0.142857143,236.1872162,291.7145996,0,3.664767456,9.383903867,-9.383903867,5.6,1.853765878,-10.13351367,10.30167692,-19.3228145,0
62,2.053531073,236.3803558,289.0378723,4,0.142857143,236.5034363,289.5103699,0,3.709941755,9.698793829,-9.698793829,5.2,1.224897882,-9.286246175,9.366682595,-14.49211087,0
63,2.086652542,236.5150909,286.7294922,2,0.142857143,236.6282837,287.7444763,0,3.7277771,9.951064337,-9.951064337,4.8,0.862933653,-8.28137996,8.326218141,-4.830703625,0
64,2.119774011,236.9876862,285.9301147,6,0.142857143,236.6689484,286.2094177,0,3.733586339,10.17035842,-10.17035842,5.2,0.667492397,-7.457899953,7.48771112,7.246055437,0
65,2.15289548,236.7918091,285.311554,6,0.142857143,236.8033752,284.7323792,0,3.752790179,10.38136393,-10.38136393,6,0.407225224,-7.461932981,7.473036611,7.246055437,0
66,2.186016949,236.6697998,284.0380554,8,0.142857143,236.9610077,283.0690186,0,3.775309099,10.61898687,-10.61898687,6.8,0.314068077,-8.221289955,8.227286751,9.661407249,0
67,2.219138418,237.0524902,281.6526794,8,0.142857143,236.9755127,280.8601135,0,3.777381243,10.93454474,-10.93454474,6.4,0.282430397,-9.42665977,9.430889743,4.830703625,0
68,2.252259887,237.3032532,278.4126892,6,0.142857143,236.9923676,278.2139343,0,3.77978908,11.31257034,-11.31257034,6.4,0.110284351,-10.75233596,10.75290152,-4.830703625,0
69,2.285381356,237.0602112,274.8855896,4,0.142857143,236.9963562,275.2815491,0,3.780358887,11.73148251,-11.73148251,6,-0.086860148,-11.8396739,11.83999251,-14.49211087,0
70,2.318502825,236.8760834,272.080658,6,0.142857143,236.9312225,272.2677185,0,3.771054077,12.16202974,-12.16202974,5.2,0.070038316,-12.25436496,12.25456511,-12.07675906,0
71,2.351624294,236.689743,269.3761292,6,0.142857143,236.8603149,269.3438599,0,3.760924421,12.57972383,-12.57972383,4.4,0.433942716,-12.20469449,12.21240656,-12.07675906,0
72,2.384745763,236.7268219,266.5835266,4,0.142857143,237.0567047,266.6542236,0,3.788980103,12.96395758,-12.96395758,4.4,1.015430535,-11.85163083,11.89505159,-9.661407249,0
73,2.417867232,236.9487152,263.793396,2,0.142857143,237.4954163,264.065625,0,3.851653181,13.33375738,-13.33375738,4.4,1.802789673,-11.34593339,11.48826597,0,0
74,2.450988701,238.04216,261.4374084,4,0.142857143,238.1734955,261.5425293,0,3.948521641,13.69419963,-13.69419963,4.4,2.561491148,-10.85478065,11.15291441,9.661407249,0
75,2.484110169,239.0696411,259.1376648,6,0.142857143,239.021109,259.1149292,0,4.069609288,14.04099964,-14.04099964,5.2,2.87977653,-10.55202716,10.93793354,12.07675906,0
76,2.517231638,240.0801392,256.7606506,6,0.142857143,239.8297272,256.7604401,0,4.185126168,14.37735523,-14.37735523,6,2.791128898,-10.24291876,10.61639229,12.07675906,0
77,2.550353107,240.9648895,254.4455261,8,0.142857143,240.3950897,254.4217712,0,4.265892247,14.71145078,-14.71145078,6.4,2.408836314,-9.921408537,10.20964445,7.246055437,0
78,2.583474576,240.991806,252.0209503,6,0.142857143,240.7310364,252.191507,0,4.313884626,15.03005996,-15.03005996,6.4,1.896215337,-9.41710897,9.606121692,-2.415351812,0
79,2.616596045,240.8689728,249.7440643,6,0.142857143,240.9659424,250.0411224,0,4.347442627,15.33725775,-15.33725775,5.6,1.526593094,-8.625561486,8.759611717,-9.661407249,0
80,2.649717514,240.7493744,247.9863434,6,0.142857143,241.2192993,248.1981323,0,4.383636475,15.60054205,-15.60054205,4.8,1.424593297,-7.587609703,7.720186984,-16.90746269,0
81,2.682838983,241.2546692,246.008728,2,0.142857143,241.5994324,246.7612457,0,4.437941197,15.80581156,-15.80581156,4.4,1.555666695,-6.501803889,6.685323678,-24.15351812,0
82,2.715960452,242.2316742,245.2305756,4,0.142857143,242.0465515,245.625824,0,4.50181536,15.96801467,-15.96801467,3.6,1.736323693,-5.286369933,5.564218457,-24.15351812,0
83,2.749081921,242.8924713,244.8365173,4,0.142857143,242.5344452,244.6542816,0,4.571514457,16.10680644,-16.10680644,2.4,1.753590421,-4.392475159,4.729578986,-28.98422175,0
84,2.78220339,243.1045685,244.0669556,2,0.142857143,242.9787781,243.9128906,0,4.634990583,16.21271944,-16.21271944,1.6,1.605992667,-3.844133456,4.166122235,-33.81492537,0
85,2.815324859,243.1888428,243.1286316,0,0.142857143,243.2521515,243.1061493,0,4.674043928,16.3279682,-16.3279682,0,1.391233946,-3.433396445,3.704557064,-33.81492537,0
86,2.848446328,243.4763336,242.3017731,-2,0.142857143,243.4611816,242.3049286,0,4.703905378,16.4424283,-16.4424283,-1.2,1.135189342,-2.98802594,3.196397012,-28.98422175,0
87,2.881567797,243.5985413,241.1968689,-4,0.142857143,243.6593414,241.6456543,0,4.73221392,16.53661034,-16.53661034,-2,0.867832781,-2.568017177,2.710691047,-24.15351812,0
88,2.914689266,243.9376221,240.8304138,-2,0.142857143,243.850415,241.1904083,0,4.759510149,16.60164548,-16.60164548,-2.4,0,0,0,-12.07675906,0
89,2.947810734,244.0953674,240.7705841,-2,0.142857143,243.9848145,240.9359131,0,4.778710066,16.63800194,-16.63800194,-2.4,0,0,0,-7.246055437,0
90,2.980932203,244.1442108,240.8524017,-2,0.142857143,244.0923859,240.9197876,0,4.79407741,16.64030558,-16.64030558,-2,0,0,0,-4.830703625,0
91,3.014053672,244.1483307,241.0292969,-2,0.142857143,244.1254639,240.980545,0,4.798802839,16.63162595,-16.63162595,-2.4,0,0,0,-4.830703625,0
92,3.047175141,244.1363983,241.1162415,-2,0.142857143,244.1211792,241.0570007,0,4.798190744,16.62070371,-16.62070371,-2.8,0,0,0,-7.246055437,0
93,3.08029661,244.1030121,241.134201,-4,0.142857143,244.1028717,241.1201172,0,4.795575387,16.61168707,-16.61168707,-3.2,0,0,0,-12.07675906,0
94,3.113418079,244.0739441,241.1528625,-4,0.142857143,244.081015,241.1499603,0,4.792453003,16.60742376,-16.60742376,-3.6,0,0,0,-9.661407249,0
95,3.146539548,244.0526733,241.167984,-4,0.142857143,244.0600281,241.1636993,0,4.789454869,16.60546105,-16.60546105,-4,0,0,0,-7.246055437,0
96,3.179661017,244.0390472,241.1785126,-4,0.142857143,244.0450195,241.1745209,0,4.787310791,16.60391511,-16.60391511,-4,0,0,0,-2.415351812,0
97,3.212782486,244.0314636,241.1849365,-4,0.142857143,244.0356171,241.1818878,0,4.785967582,16.60286269,-16.60286269,-4,0,0,0,2.415351812,0
98,3.245903955,244.0279694,241.1883087,-4,0.142857143,244.0228485,241.2048676,0,4.784143502,16.59957987,-16.59957987,-3.6,0,0,0,7.246055437,0
99,3.279025424,244.0269318,241.1896973,-4,0.142857143,244.0043854,241.2433289,0,4.781505912,16.5940854,-16.5940854,-3.2,0,0,0,9.661407249,0
100,3.312146893,243.9888306,241.2828827,-2,0.142857143,243.9831024,241.2895142,0,4.778465489,16.5874875,-16.5874875,-2.8,0,0,0,12.07675906,0
101,3.345268362,243.9467316,241.3708191,-2,0.142857143,243.9607971,241.3385651,0,4.775279018,16.58048023,-16.58048023,-2.4,0,0,0,9.661407249,0
102,3.378389831,243.9250488,241.415863,-2,0.142857143,243.9384338,241.3878448,0,4.772084263,16.57344026,-16.57344026,-2,0,0,0,7.246055437,0
103,3.411511299,243.9164429,241.4335632,-2,0.142857143,243.9240936,241.4176117,0,4.770035662,16.56918785,-16.56918785,-2,0,0,0,4.830703625,0
104,3.444632768,243.9151154,241.4360962,-2,0.142857143,243.9187775,241.4285095,0,4.76927621,16.56763102,-16.56763102,-2,0,0,0,2.415351812,0
105,3.477754237,243.9171295,241.4317169,-2,0.142857143,243.9183624,241.4292084,0,4.769216919,16.56753119,-16.56753119,-2,0,0,0,0,0
106,3.510875706,243.9201508,241.4253082,-2,0.142857143,243.9200989,241.4254639,0,4.769464983,16.56806612,-16.56806612,-2,0,0,0,0,0
107,3.543997175,243.9229736,241.4193573,-2,0.142857143,243.9223877,241.4206116,0,4.769791957,16.5687593,-16.5687593,-2,0,0,0,0,0
108,3.577118644,243.9251251,241.4148407,-2,0.142857143,243.9244385,241.4162872,0,4.770084926,16.56937706,-16.56937706,-2,0,0,0,0,0
109,3.610240113,243.9265594,241.4118347,-2,0.142857143,243.9258606,241.4014313,0,4.770288086,16.57149934,-16.57149934,-2,0,0,0,0,0
110,3.643361582,243.9273834,241.4100952,-2,0.142857143,243.9266876,241.3810455,0,4.770406233,16.57441159,-16.57441159,-2,0,0,0,0,0
111,3.676483051,243.9272614,241.3510284,-2,0.142857143,243.9270569,241.358374,0,4.770458984,16.57765038,-16.57765038,-2,0,0,0,0,0
112,3.70960452,243.9271088,241.3174286,-2,0.142857143,243.927121,241.33526,0,4.77046814,16.58095238,-16.58095238,-2,0,0,0,-2.415351812,0
113,3.742725989,243.9269714,241.3014832,-2,0.142857143,243.9306824,241.3097504,0,4.770976911,16.58459662,-16.58459662,-2,0,0,0,-4.830703625,0
114,3.775847458,243.9268799,241.2962646,-2,0.142857143,243.9890686,241.2599457,0,4.779317801,16.59171157,-16.59171157,-2.4,0,0,0,-6.038379531,0
115,3.808968927,243.9451904,241.282547,-2,0.142857143,244.0573059,241.207428,0,4.789065988,16.5992141,-16.5992141,-2.8,0,0,0,-8.051172708,0
116,3.842090395,244.2191925,241.102005,-4,0.142857143,244.0898895,241.1839142,0,4.79372079,16.60257321,-16.60257321,-3,0,0,0,-10.06396588,0
117,3.875211864,244.2682953,241.0548401,-4,0.142857143,244.1442261,241.146464,0,4.801483154,16.60792324,-16.60792324,-3.333333333,0,0,0,-9.393034826,0
