frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,y_mm_abs_2,angle_deg_raw,angle_deg_raw2,angle_deg,mm_per_px,x_mm,y_mm,y_mm_origin,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
501,4.1564034,119.440028,265.238736,26.95998118,-59.86963879,59.86963879,0.189723806,-0.189723806,7.310276194,0.225719816,0.006003727,0.004981398,-0.004981398,7.227555461,-0.072276093,0.002365856,0.072314804,-1.093930248
502,4.1594803,119.438132,265.2390587,26.95955322,-59.86971163,59.86971163,0.33793141,-0.33793141,7.16206859,0.225719816,0.005575767,0.005054233,-0.005054233,7.267303084,-0.077094897,-0.000923565,0.077100428,4.25493479
503,4.1723302,119.4335839,265.2401007,26.95852663,-59.86994682,59.86994682,0.185682824,-0.185682824,7.314317176,0.225719816,0.004549172,0.005289427,-0.005289427,7.31163063,-0.099415493,-0.020583509,0.101523993,4.916631405
504,4.1893361,119.4289335,265.2380495,26.95747695,-59.86948382,59.86948382,0.092010222,-0.092010222,7.407989778,0.225719816,0.003499494,0.004826427,-0.004826427,7.284118118,-0.136695575,-0.012108956,0.137230853,3.950703162
505,4.1924174,119.4243434,265.2386811,26.95644088,-59.86962639,59.86962639,0.136498587,-0.136498587,7.363501413,0.225719816,0.002463419,0.004968993,-0.004968993,7.314993637,-0.163110769,-0.02325849,0.164760676,2.971679922
506,4.2044647,119.4207927,265.2386559,26.95563939,-59.8696207,59.8696207,0.327286366,-0.327286366,7.172713634,0.225719816,0.001661937,0.004963304,-0.004963304,7.321168741,-0.193535673,-0.019117871,0.194477633,2.259700148
507,4.2075042,119.4171412,265.2397253,26.95481519,-59.8698621,59.8698621,0.183553816,-0.183553816,7.316446184,0.225719816,0.000837733,0.005204699,-0.005204699,7.309759185,-0.36529855,-0.019290092,0.365807515,-1.136314945
508,4.2211068,119.4031592,265.2395807,26.95165917,-59.86982945,59.86982945,0.154807305,-0.154807305,7.345192695,0.225719816,-0.002318284,0.005172054,-0.005172054,7.307477273,-0.308912632,-0.013857078,0.309223273,1.981632423
509,4.2247476,119.3883112,265.2391554,26.94830768,-59.86973346,59.86973346,0.149058003,-0.149058003,7.350941997,0.225719816,-0.005669782,0.005076065,-0.005076065,7.343398912,-0.289719004,-0.029031949,0.291169977,3.441950978
510,4.2362023,119.3855547,265.2401249,26.94768549,-59.86995228,59.86995228,0.147908143,-0.147908143,7.352091857,0.225719816,-0.006291962,0.005294885,-0.005294885,7.35058324,-0.267637058,-0.012111056,0.267910942,3.633370429
511,4.239737,119.3860158,265.2413056,26.94778956,-59.87021881,59.87021881,0.147678171,-0.147678171,7.352321829,0.225719816,-0.0061879,0.005561409,-0.005561409,7.352020106,-0.216511677,-0.023070748,0.217737377,0.351903418
512,4.2527919,119.3767182,265.2410057,26.94569092,-59.87015111,59.87015111,0.147632177,-0.147632177,7.352367823,0.225719816,-0.008286532,0.005493716,-0.005493716,7.352307479,-0.022283766,-0.031880531,0.038896458,0.148600192
513,4.256117,119.3770661,265.2417776,26.94576943,-59.87032534,59.87032534,0.147622978,-0.147622978,7.352377022,0.225719816,-0.008208023,0.005667946,-0.005667946,7.352364953,0.02857856,-0.03902784,0.048372579,0.013415813
514,4.2682208,119.3797794,265.2427259,26.9463819,-59.87053939,59.87053939,0.147621138,-0.147621138,7.352378862,0.225719816,-0.007595561,0.005881992,-0.005881992,7.352376448,0.033943823,-0.026595887,0.043122202,0.006290327
515,4.2718344,119.3829812,265.2436038,26.9471046,-59.87073756,59.87073756,0.14762077,-0.14762077,7.35237923,0.225719816,-0.006872859,0.00608016,-0.00608016,7.352378747,0.104304811,-0.035604968,0.11021437,0.000540688
516,4.2845487,119.3861506,265.2443498,26.94781999,-59.87090592,59.87090592,0.147620696,-0.147620696,7.352379304,0.225719816,-0.006157469,0.006248528,-0.006248528,7.352379207,0.109557747,-0.026951087,0.112824026,0.000232834
517,4.2880673,119.3891287,265.2449711,26.94849222,-59.87104618,59.87104618,0.147620682,-0.147620682,7.352379318,0.225719816,-0.005485239,0.00638878,-0.00638878,7.352379299,0.282831059,-0.0482014,0.286909015,2.13E-05
518,4.3003968,119.3918531,265.2454698,26.94910716,-59.87115873,59.87115873,0.147620679,-0.147620679,7.352379321,0.225719816,-0.004870295,0.006501337,-0.006501337,7.352379317,0.254301714,-0.038774988,0.257240863,9.59E-06
519,4.3036252,119.4049682,265.2472424,26.9520675,-59.87155885,59.87155885,0.147620678,-0.147620678,7.352379322,0.225719816,-0.001909957,0.006901452,-0.006901452,7.352379321,0.252404304,-0.037110929,0.255117922,8.95E-07
520,4.3172735,119.4084358,265.2477084,26.95285021,-59.87166404,59.87166404,0.147620678,-0.147620678,7.352379322,0.225719816,-0.001127251,0.007006646,-0.007006646,7.352379322,0.214695278,-0.028949044,0.2166382,4.09E-07
521,4.3215669,119.4093256,265.247802,26.95305105,-59.87168518,59.87168518,0.147620678,-0.147620678,7.352379322,0.225719816,-0.000926408,0.007027779,-0.007027779,7.352379322,0.202260104,-0.025638231,0.203878563,3.03E-08
