frame,t_s,x_px_raw,y_px_raw,angle_deg_raw,mm_per_px,x_px_filt,y_px_filt,pos_outlier,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,tail_trimmed
36,1.1923728813559322,217.71730041503906,337.1784973144531,6.0,0.14285714285714285,217.5229248046875,337.14182739257814,0,0.998440115792409,-2.8942998976934575,6.8,3.0939139750466405,-9.665140169290678,10.148262815724923,-4.830703624733505,0
37,1.225494350282486,218.55178833007812,334.96075439453125,6.0,0.14285714285714285,218.20413513183593,334.78369140625,0,1.0957558768136124,-3.2311764671689005,6.0,2.7213538345025583,-10.062956750447402,10.424435968144113,-19.322814498933898,0
38,1.2586158192090395,219.03030395507812,332.47393798828125,6.0,0.14285714285714285,218.711328125,332.3859436035156,0,1.168212018694195,-3.573711867559531,4.800000000000001,2.3009238673897903,-10.525670327016119,10.774227883080606,-31.399573560767614,0
39,1.2917372881355933,219.02841186523438,329.93084716796875,4.0,0.14285714285714285,219.0181671142578,329.82481689453124,0,1.2120461600167403,-3.939587111700156,3.2,2.0817504027613802,-10.76422443744284,10.96367695980864,-41.06098081023454,0
40,1.3248587570621468,219.2288360595703,327.38568115234375,2.0,0.14285714285714285,219.36521911621094,327.15651245117186,0,1.2616250174386145,-4.3207734607514965,1.6,2.1729910714285703,-10.656901676248872,10.87618699424317,-45.891684434968,0
41,1.3579802259887006,219.25149536132812,324.37286376953125,-2.0,0.14285714285714285,219.93619689941406,324.66338500976565,0,1.3431932721819173,-4.676934523809521,0.0,2.5583110585068987,-10.295987824350792,10.60906785496532,-50.7223880597015,0
42,1.3911016949152544,220.28704833984375,321.6192321777344,-2.0,0.14285714285714285,220.72317810058593,322.4296630859375,0,1.4556191580636124,-4.996037655784974,-1.6,3.2887365875104684,-9.507999513354763,10.060707882052059,-48.30703624733477,0
43,1.424223163841808,221.88519287109375,320.00830078125,-2.0,0.14285714285714285,221.67705383300782,320.45030517578124,0,1.5918871198381694,-5.27880307152158,-3.6,4.047896122068236,-8.376472012545669,9.30326536179722,-43.47633262260128,0
44,1.4573446327683617,222.96331787109375,318.7622375488281,-4.0,0.14285714285714285,222.8306396484375,318.8026550292969,0,1.7566850934709812,-5.514181663876492,-4.8,4.446399792134661,-7.190493373772128,8.454209961300704,-33.81492537313435,0
45,1.4904661016949152,223.9982147216797,317.4888916015625,-8.0,0.14285714285714285,224.05774841308593,317.4460754394531,0,1.9319863455636153,-5.707978748139887,-5.6,4.520163130259106,-6.022310601012803,7.529946858990772,-19.322814498933962,0
46,1.523587570621469,225.01942443847656,316.1346130371094,-8.0,0.14285714285714285,225.09069213867187,316.3277954101562,0,2.079549734933032,-5.8677330380394395,-5.6,4.323179215132887,-4.883638428552379,6.522254428262559,2.4153518123667626,0
47,1.5567090395480228,226.42259216308594,314.8363342285156,-6.0,0.14285714285714285,225.96318359375,315.448291015625,0,2.204191371372765,-5.993376522972476,-4.8,3.810397653989282,-3.9418527678095336,5.482456887620248,21.73816631130061,0
48,1.5898305084745763,227.04991149902344,314.4169006347656,-2.0,0.14285714285714285,226.68870544433594,314.7889404296875,0,2.307837350027903,-6.087569463820685,-3.2,3.130026946937792,-3.33684597381393,4.575107620757675,36.230277185501095,0
49,1.62295197740113,227.32577514648438,314.3647155761719,0.0,0.14285714285714285,227.2478485107422,314.233056640625,0,2.3877149309430763,-6.166981433686757,-1.2,2.664399165683083,-3.2518733461201395,4.2040103678867515,41.06098081023456,0
50,1.6560734463276836,227.62582397460938,314.192138671875,0.0,0.14285714285714285,227.6862365722656,313.57783203125,0,2.4503417968749943,-6.260584949311756,0.4,2.484587208250839,-3.7716021395732016,4.516431810028449,38.645628997867846,0
51,1.6891949152542374,227.8151397705078,313.3551940917969,2.0,0.14285714285714285,228.1794006347656,312.558056640625,0,2.520793805803571,-6.406267147972471,1.2,2.57537245016942,-4.678775367423072,5.340737982329459,36.230277185501045,0
52,1.722316384180791,228.61453247070312,311.5602111816406,2.0,0.14285714285714285,228.84344482421875,311.0760559082031,0,2.615657261439729,-6.61798153831846,1.6,2.9216678931950497,-5.761569573608339,6.460017587410748,31.399573560767585,0
53,1.7554378531073447,229.51573181152344,309.3180236816406,2.0,0.14285714285714285,229.67420959472656,309.3650634765625,0,2.734337942940847,-6.862409028552825,2.8,3.405378485641026,-6.8030278791787655,7.607745458107171,28.984221748400834,0
54,1.7885593220338984,230.64599609375,306.9547119140625,2.0,0.14285714285714285,230.63479614257812,307.5539489746094,0,2.8715645926339235,-7.1211396716889865,4.0,3.856108810420131,-7.562095275376943,8.488513421776396,31.39957356076757,0
55,1.821680790960452,231.77964782714844,305.6371765136719,6.0,0.14285714285714285,231.63392639160156,305.6914123535156,0,3.0142974853515625,-7.387216331845245,5.2,4.1046085986283405,-8.009529679409052,9.000020968490473,36.230277185501066,0
56,1.8548022598870058,232.61807250976562,304.29962158203125,8.0,0.14285714285714285,232.64960021972655,303.79168701171875,0,3.159393746512272,-7.6586056663876505,6.4,4.1449967904022555,-8.516959318125636,9.472042779625317,31.3995735607676,0
57,1.8879237288135593,233.6101837158203,302.2475280761719,8.0,0.14285714285714285,233.60171813964843,301.79099731445314,0,3.295410592215397,-7.944418480282742,7.6,3.9803165841313253,-9.126093910628638,9.956330156012504,21.738166311300677,0
58,1.921045197740113,234.59410095214844,299.81939697265625,8.0,0.14285714285714285,234.47930297851562,299.49176635742185,0,3.4207798549107125,-8.272880045572926,8.0,3.5963655098233196,-9.798419622629815,10.437570214440894,9.661407249466938,0
59,1.9541666666666668,235.40658569335938,296.9512634277344,8.0,0.14285714285714285,235.24898376464844,296.97451171875,0,3.5307342529296832,-8.632487851097473,7.6,3.0516382631644103,-10.418005337629442,10.855751070473412,-4.8307036247334505,0
60,1.9872881355932204,236.16757202148438,294.1410217285156,8.0,0.14285714285714285,235.80301818847656,294.33258056640625,0,3.609882027762275,-9.009906587146581,6.8,2.5030964884204843,-10.59358419557184,10.885289070071241,-14.492110874200431,0
61,2.020409604519774,236.4664764404297,291.7133483886719,6.0,0.14285714285714285,236.18721618652344,291.714599609375,0,3.6647674560546832,-9.38390386672247,5.6,1.8537658784362396,-10.133513673659724,10.301676917196689,-19.322814498933912,0
62,2.0535310734463277,236.38035583496094,289.0378723144531,4.0,0.14285714285714285,236.50343627929686,289.5103698730469,0,3.709941755022321,-9.698793829055056,5.2,1.2248978818439868,-9.286246174659261,9.36668259509842,-14.492110874200463,0
63,2.0866525423728812,236.5150909423828,286.7294921875,2.0,0.14285714285714285,236.62828369140624,287.7444763183594,0,3.7277770996093693,-9.95106433686756,4.8,0.8629336526471407,-8.281379960449662,8.326218141401785,-4.830703624733476,0
64,2.119774011299435,236.98768615722656,285.93011474609375,6.0,0.14285714285714285,236.6689483642578,286.20941772460935,0,3.733586338588168,-10.170358421688995,5.2,0.667492396912146,-7.457899953358255,7.487711119844073,7.24605543710021,0
65,2.1528954802259888,236.79180908203125,285.3115539550781,6.0,0.14285714285714285,236.80337524414062,284.7323791503906,0,3.7527901785714235,-10.38136393229167,6.0,0.4072252239281732,-7.4619329809816035,7.473036611422719,7.246055437100243,0
66,2.1860169491525423,236.6697998046875,284.0380554199219,8.0,0.14285714285714285,236.96100769042968,283.0690185546875,0,3.7753090994698653,-10.618986874534976,6.8,0.3140680773825774,-8.221289954881232,8.227286750774027,9.661407249466993,0
