frame,t_s,x_px_filt,y_px_filt,x_mm,y_mm,angle_deg_raw,mm_per_px,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
87,2.9,389.3908386,394.1157227,-3.909589979,0.050286187,-46.31188583,0.138888889,-46.20544205,-18.46217194,-1.694081624,1.328887939,2.153103738
88,2.933333333,389.0728149,394.2886658,-3.953759935,0.074306064,-46.81830215,0.138888889,-46.63765793,-13.95943909,-1.078643799,0.90616862,1.408763292
89,2.966666667,388.9555969,394.4541931,-3.970040215,0.097295973,-47.15296173,0.138888889,-46.95440903,-10.72914734,-0.651830037,0.614496867,0.89581739
90,3,388.9656677,394.5175781,-3.968641493,0.106099447,-47.16107941,0.138888889,-47.26451263,-10.13892517,-0.555801392,0.567728678,0.794500497
91,3.033333333,388.9970398,394.5700989,-3.964284261,0.113393995,-47.32781601,0.138888889,-47.56304092,-9.132261658,-0.466334025,0.537236532,0.711400389
92,3.066666667,388.723877,394.7969971,-4.002223545,0.144907633,-47.86240387,0.138888889,-47.89526291,-8.478135681,-0.474116007,0.487569173,0.680080648
93,3.1,388.5132141,394.9333496,-4.031482273,0.163845486,-48.3109436,0.138888889,-48.15970154,-7.474227905,-0.501861572,0.494130452,0.704293931
94,3.133333333,388.3866577,395.0392761,-4.04905955,0.178557502,-48.81407166,0.138888889,-48.36743164,-6.001524353,-0.594584147,0.569915771,0.823610524
95,3.166666667,388.3634338,395.1105347,-4.052285088,0.188454522,-48.48327255,0.138888889,-48.51021729,-3.471066284,-0.332336426,0.371932983,0.498780156
96,3.2,388.2835388,395.2539978,-4.063381619,0.208379957,-48.36646652,0.138888889,-48.56329498,-1.744258118,-0.124053955,0.237731934,0.268152673
97,3.233333333,388.3250732,395.2433167,-4.057612949,0.206896464,-48.57633209,0.138888889,-48.47377396,-0.61999054,-0.023269653,0.189565023,0.190987891
98,3.266666667,388.3643494,395.2186279,-4.052157932,0.203467475,-48.57633209,0.138888889,-48.45041122,0.366448975,-0.017420451,0.163040161,0.163968187
99,3.3,388.3587341,395.2667542,-4.052937826,0.210151672,-48.36646652,0.138888889,-48.4707634,0.936753845,0.08740743,0.040384928,0.096286039
100,3.333333333,388.3425293,395.3061829,-4.055188497,0.215627882,-48.36645889,0.138888889,-48.44914246,0.147789001,0.07657369,0.042266846,0.087464371
101,3.366666667,388.3884277,395.3024597,-4.048813714,0.215110779,-48.46822739,0.138888889,-48.40716934,-0.244235229,0.072275798,0.125274658,0.144628942
102,3.4,388.4169617,395.2940369,-4.044850667,0.213940938,-48.46822739,0.138888889,-48.44914246,-9.16E-06,0.154444377,0.059992472,0.16568694
103,3.433333333,388.4510803,395.3689575,-4.040111966,0.224346585,-48.36646652,0.138888889,-48.4911171,-0.00761261,0.225499471,0.022379557,0.226607273
104,3.466666667,388.5440674,395.3387451,-4.027197096,0.220150418,-48.57633209,0.138888889,-48.47076492,0.218421936,0.168609619,0.149459839,0.225316327
105,3.5,388.6131287,395.3330383,-4.017605252,0.219357808,-48.57633209,0.138888889,-48.45041122,1.199972534,-2.133687337,0.813090007,2.283360903
106,3.533333333,388.5907593,395.4818115,-4.020712111,0.240020752,-48.36646652,0.138888889,-48.37076569,2.233442688,-3.712234497,1.264190674,3.921589349
107,3.566666667,385.8565369,396.2697449,-4.400465224,0.349455939,-48.36645889,0.138888889,-48.24914703,3.028015137,-1.912002563,0.863901774,2.098113457
108,3.6,383.9963989,396.8859863,-4.658817715,0.43504503,-47.96823883,0.138888889,-48.11887665,2.905892944,-0.72962443,0.5128479,0.891832259
109,3.633333333,386.2496643,396.3754272,-4.34586419,0.364134047,-47.96823883,0.138888889,-47.96609573,-0.2434021,0.081812541,0.101699829,0.130522592
110,3.666666667,387.7375793,395.9484558,-4.139209323,0.304832458,-47.92498016,0.138888889,-47.96609573,-6.729423523,2.609405518,-0.575993856,2.672221188
