frame,t_s,x_px_raw,y_px_raw,angle_deg_raw,mm_per_px,x_px_filt,y_px_filt,pos_outlier,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,tail_trimmed
49,1.6333333333333333,450.45794677734375,306.7316589355469,0.0,0.23255813953488372,450.4366455078125,306.75413208007814,0,0.09705772695615167,-0.01299433745155909,0.0,0.0,0.0,0.0,0.0,0
50,1.6666666666666667,450.41546630859375,306.7774353027344,0.0,0.23255813953488372,450.42396850585936,306.7677001953125,0,0.09410958696705052,-0.009838961815660241,0.0,0.0,0.0,0.0,0.0,0
51,1.7,450.3902893066406,306.8034362792969,0.0,0.23255813953488372,450.414208984375,306.78148193359374,0,0.09183993080789321,-0.006633906401418699,0.0,0.0,0.0,0.0,0.0,0
52,1.7333333333333334,450.3961486816406,306.7956848144531,0.0,0.23255813953488372,450.4026245117187,306.79633178710935,0,0.08914586739945207,-0.003180452095449482,0.0,0.0,0.0,0.0,0.0,0
53,1.7666666666666666,450.41119384765625,306.7991943359375,0.0,0.23255813953488372,450.3982666015625,306.80255737304685,0,0.08813239992126398,-0.0017326414123175482,0.0,0.0,0.0,0.0,0.0,0
54,1.8,450.4000244140625,306.805908203125,0.0,0.23255813953488372,450.39833374023436,306.8036682128906,0,0.08814801356588475,-0.0014743065649298615,0.0,0.0,0.0,0.0,0.0,0
55,1.8333333333333333,450.3936767578125,306.8085632324219,0.0,0.23255813953488372,450.38226928710935,306.79588012695314,0,0.08441209423449436,-0.0032854893410814157,0.0,0.0,0.0,0.0,0.0,0
56,1.8666666666666667,450.390625,306.8089904785156,0.0,0.23255813953488372,450.34844970703125,306.7915893554688,0,0.07654707561167129,-0.004283343174662946,0.0,0.0,0.0,0.0,0.0,0
57,1.9,450.3158264160156,306.7567443847656,0.0,0.23255813953488372,450.3204406738281,306.7596374511719,0,0.07003334695977514,-0.011714018592542175,0.0,0.0,0.0,0.0,0.0,0
58,1.9333333333333333,450.2420959472656,306.7777404785156,0.0,0.23255813953488372,450.27919311523436,306.7203857421875,0,0.06044089147286513,-0.020842323007514096,0.0,0.0,0.0,0.0,0.0,0
