frame,t_s,x_px_filt,y_px_filt,mm_per_px,x_mm,y_mm,angle_deg_raw,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
10,0.3333333333333333,417.8853698730469,392.9306945800781,0.1388888888888889,0.044926396122685716,-0.20753931116174507,-3.425859069824219,-3.4269467163085934,0.09524230957031664,0.04031880696615535,1.5547892252604356,1.5553119112194569
11,0.3666666666666666,417.88514404296876,393.36146240234376,0.1388888888888889,0.04489503083405566,-0.14771044695818444,-3.4064407348632804,-3.4191793823242187,0.1621856689453151,-0.0021006266275947288,1.0956471761067608,1.0956491898153111
12,0.4,417.8765441894531,393.42664794921876,0.1388888888888889,0.04370060673466014,-0.13865689878110113,-3.4064407348632804,-3.4124996948242186,0.13109436035156194,-0.03643290201821964,0.25311279296872247,0.2557214154385521
13,0.4333333333333333,417.85498046875,393.1463134765625,0.1388888888888889,0.04070564552589436,-0.1775922422055803,-3.4118789672851557,-3.409703674316406,0.09040649414062331,-0.07514953613281249,-0.6332041422525944,0.6376479738435783
14,0.4666666666666667,417.8242919921875,392.6594604492187,0.1388888888888889,0.03644335711443761,-0.2452107182255503,-3.4118789672851557,-3.4107913208007807,0.02702636718750099,-0.09595743815107007,-1.2583719889323204,1.2620253137183899
15,0.5,417.7951904296875,392.170849609375,0.1388888888888889,0.03240147343388363,-0.31307333487051087,-3.4118789672851557,-3.411878967285156,-0.03965515136718608,-0.09997558593748104,-1.312978108723968,1.3167788849202855
16,0.5333333333333333,417.7699951171875,391.851416015625,0.1388888888888889,0.02890212447554398,-0.3574391117802378,-3.4118789672851557,-3.4146749877929685,-0.09286193847656143,-0.07101440429688445,-0.8589986165364867,0.8619290393235626
17,0.5666666666666667,417.75657348632814,391.85107421875,0.1388888888888889,0.027038009078413302,-0.3574865835684291,-3.4118789672851557,-3.4191088867187496,-0.1227667236328154,-0.02236938476561553,-0.09705098470050215,0.09959559732302053
18,0.6,417.76976318359374,392.1155151367187,0.1388888888888889,0.028869911476413615,-0.32075867829499477,-3.425859069824219,-3.4251806640624998,-0.15919738769531394,0.031845092773418536,0.6503448486328033,0.6511240527556722
19,0.6333333333333333,417.7974487304688,392.5429992675781,0.1388888888888889,0.032715126320168354,-0.26138588234230065,-3.4340484619140623,-3.43125244140625,-0.1686016845703167,0.07639058430991481,1.1165720621744888,1.1191821529133676
20,0.6666666666666666,417.8334045410156,392.9512634277344,0.1388888888888889,0.03770898889612005,-0.20468252676504367,-3.4422378540039062,-3.438411865234375,-0.1718261718750043,0.10024007161457386,1.1024373372395744,1.106985164533463
21,0.7,417.8616638183594,393.19130249023436,0.1388888888888889,0.04163388852719645,-0.1713437680844897,-3.4422378540039062,-3.442775268554688,-0.177518920898441,0.0956166585286648,0.6791432698567718,0.6858411816010578
22,0.7333333333333333,417.8768615722656,393.1739990234375,0.1388888888888889,0.043744687680842276,-0.17374702736183345,-3.447676086425781,-3.4477465820312503,-0.2151617431640637,0.07934570312499999,0.037536621093750625,0.08777663998773498
23,0.7666666666666667,417.88450317382814,392.93048706054685,0.1388888888888889,0.04480602123119108,-0.20756813331886628,-3.447676086425781,-3.4547671508789066,-0.23975280761718656,0.05430603027344697,-0.5482584635416755,0.550941455845482
24,0.8,417.8926635742188,392.5880432128906,0.1388888888888889,0.04593941017433502,-0.25512977882667565,-3.458905029296875,-3.467112731933594,-0.2643438720703094,0.046971638997395794,-0.841756184895814,0.8430657208548202
25,0.8333333333333334,417.89857177734376,392.29335327148436,0.1388888888888889,0.04675999394169455,-0.296058937355323,-3.4773406982421875,-3.4783706665039062,-0.25833801269531154,0.05142211914062502,-0.754760742187509,0.7565104178293595
26,0.8666666666666667,417.91802978515625,392.1811950683594,0.1388888888888889,0.049462495026762414,-0.31163646556712543,-3.5039657592773437,-3.486832580566406,-0.19579101562499976,0.05551147460934662,-0.3421325683593557,0.34660671970617263
27,0.9,417.9385681152344,392.2682861328125,0.1388888888888889,0.05231504087094645,-0.299540484393085,-3.5039657592773437,-3.490802917480469,-0.03739379882812305,0.05177815755208337,0.20239766438801055,0.20891575371237595
